n,Mint price,Contribution to pool,Contribution to cause,Pool size,Binomial probability,Investor 1,,Investor 3,,,Investor 6,Investor 7,Investor 8,Investor 9,Investor 10,Investor 11,Investor 12,Investor 13,Investor 14,Investor 15,Investor 16,Investor 17,Investor 18
30,0.002968124101,0.002374,0.000594,0.063825,0.1107856684,,,,,,,,,,,,,,,,,,
31,0.003000597163,0.002400,0.000600,0.066225,0.1142591619,,,,,,,,,,,,,,,,,,
32,0.003034120684,0.002427,0.000607,0.068653,0.1177190871,,,,,,,,,,,,,,,,,,
33,0.003068689714,0.002455,0.000614,0.071107,0.1211654969,,,,,,,,,,,,,,,,,,
34,0.003104299153,0.002483,0.000621,0.073591,0.1245984441,,,,,,,,,,,,,,,,,,
35,0.003140943753,0.002513,0.000628,0.076104,0.1280179815,,,,,,,,,,,,,,,,,,
36,0.003178618122,0.002543,0.000636,0.078647,0.1314241612,,,,,,,,,,,,,,,,,,
37,0.003217316719,0.002574,0.000643,0.081220,0.1348170356,,,,,,,,,,,,,,,,,,
38,0.003257033863,0.002606,0.000651,0.083826,0.1381966566,,,,,,,,,,,,,,,,,,
39,0.003297763729,0.002638,0.000660,0.086464,0.1415630759,,,,,,,,,,,,,,,,,,
40,0.003339500349,0.002672,0.000668,0.089136,0.1449163451,,,,,,,,,,,,,,,,,,
41,0.003382237619,0.002706,0.000676,0.091842,0.1482565156,,,,,,,,,,,,,,,,,,
42,0.003425969295,0.002741,0.000685,0.094582,0.1515836386,,,,,,,,,,,,,,,,,,
43,0.003470688996,0.002777,0.000694,0.097359,0.154897765,,,,,,,,,,,,,,,,,,
44,0.003516390207,0.002813,0.000703,0.100172,0.1581989456,,,,,,,,,,,,,,,,,,
45,0.003563066279,0.002850,0.000713,0.103023,0.161487231,,,,,,,,,,,,,,,,,,
46,0.003610710433,0.002889,0.000722,0.105911,0.1647626715,,,,,,,,,,,,,,,,,,
47,0.003659315757,0.002927,0.000732,0.108839,0.1680253173,,,,,,,,,,,,,,,,,,
48,0.003708875213,0.002967,0.000742,0.111806,0.1712752184,,,,,,,,,,,,,,,,,,
49,0.003759381634,0.003008,0.000752,0.114813,0.1745124246,,,,,,,,,,,,,,,,,,
50,0.00381082773,0.003049,0.000762,0.117862,0.1777369854,,,,,,,,,,,,,,,,,,
51,0.003863206087,0.003091,0.000773,0.120952,0.1809489503,,,,,,,,,,,,,,,,,,
52,0.003916509168,0.003133,0.000783,0.124086,0.1841483685,,,,,,,,,,,,,,,,,,
53,0.003970729318,0.003177,0.000794,0.127262,0.1873352889,,,,,,,,,,,,,,,,,,
54,0.004025858765,0.003221,0.000805,0.130483,0.1905097605,,,,,,,,,,,,,,,,,,
55,0.004081889618,0.003266,0.000816,0.133748,0.1936718317,,,,,,,,,,,,,,,,,,
56,0.004138813874,0.003311,0.000828,0.137059,0.1968215511,,,,,,,,,,,,,,,,,,
57,0.004196623418,0.003357,0.000839,0.140417,0.1999589669,,,,,,,,,,,,,,,,,,
58,0.004255310023,0.003404,0.000851,0.143821,0.2030841272,,,,,,,,,,,,,,,,,,
59,0.004314865355,0.003452,0.000863,0.147273,0.2061970799,,,,,,,,,,,,,,,,,,
60,0.004375280973,0.003500,0.000875,0.150773,0.2092978725,,,,,,,,,,,,,,,,,,
61,0.004436548331,0.003549,0.000887,0.154322,0.2123865527,,,,,,,,,,,,,,,,,,
62,0.004498658783,0.003599,0.000900,0.157921,0.2154631677,,,,,,,,,,,,,,,,,,
63,0.00456160358,0.003649,0.000912,0.161571,0.2185277647,,,,,,,,,,,,,,,,,,
64,0.004625373876,0.003700,0.000925,0.165271,0.2215803906,,,,,,,,,,,,,,,,,,
65,0.004689960728,0.003752,0.000938,0.169023,0.2246210922,,,,,,,,,,,,,,,,,,
66,0.0047553551,0.003804,0.000951,0.172827,0.2276499161,,,,,,,,,,,,,,,,,,
67,0.004821547862,0.003857,0.000964,0.176684,0.2306669086,,,,,,,,,,,,,,,,,,
68,0.004888529796,0.003911,0.000978,0.180595,0.233672116,,,,,,,,,,,,,,,,,,
69,0.004956291596,0.003965,0.000991,0.184560,0.2366655843,,,,,,,,,,,,,,,,,,
70,0.005024823869,0.004020,0.001005,0.188580,0.2396473594,,,,,,,,,,,,,,,,,,
71,0.005094117139,0.004075,0.001019,0.192655,0.2426174869,,,,,,,,,,,,,,,,,,
72,0.00516416185,0.004131,0.001033,0.196787,0.2455760123,,,,,,,,,,,,,,,,,,
73,0.005234948365,0.004188,0.001047,0.200975,0.248522981,,,,,,,,,,,,,,,,,,
74,0.005306466971,0.004245,0.001061,0.205220,0.2514584381,,,,,,,,,,,,,,,,,,
75,0.005378707881,0.004303,0.001076,0.209523,0.2543824286,,,,,,,,,,,,,,,,,,
76,0.005451661234,0.004361,0.001090,0.213884,0.2572949972,,,,,,,,,,,,,,,,,,
77,0.0055253171,0.004420,0.001105,0.218304,0.2601961886,,,,,,,,,,,,,,,,,,
78,0.00559966548,0.004480,0.001120,0.222784,0.2630860473,,,,,,,,,,,,,,,,,,
79,0.00567469631,0.004540,0.001135,0.227324,0.2659646174,,,,,,,,,,,,,,,,,,
80,0.005750399463,0.004600,0.001150,0.231924,0.2688319431,,,,,,,,,,,,,,,,,,
81,0.005826764748,0.004661,0.001165,0.236586,0.2716880683,,,,,,,,,,,,,,,,,,
82,0.005903781919,0.004723,0.001181,0.241309,0.2745330368,,,,,,,,,,,,,,,,,,
83,0.005981440671,0.004785,0.001196,0.246094,0.2773668922,,,,,,,,,,,,,,,,,,
84,0.006059730644,0.004848,0.001212,0.250942,0.2801896777,,,,,,,,,,,,,,,,,,
85,0.006138641427,0.004911,0.001228,0.255852,0.2830014368,,,,,,,,,,,,,,,,,,
86,0.006218162561,0.004975,0.001244,0.260827,0.2858022124,,,,,,,,,,,,,,,,,,
87,0.006298283535,0.005039,0.001260,0.265866,0.2885920476,,,,,,,,,,,,,,,,,,
88,0.006378993797,0.005103,0.001276,0.270969,0.2913709849,,,,,,,,,,,,,,,,,,
89,0.00646028275,0.005168,0.001292,0.276137,0.294139067,,,,,,,,,,,,,,,,,,
90,0.006542139757,0.005234,0.001308,0.281371,0.2968963362,,,,,,,,,,,,,,,,,,
91,0.006624554142,0.005300,0.001325,0.286670,0.2996428349,,,,,,,,,,,,,,,,,,
92,0.006707515193,0.005366,0.001342,0.292036,0.3023786051,,,,,,,,,,,,,,,,,,
93,0.006791012166,0.005433,0.001358,0.297469,0.3051036887,,,,,,,,,,,,,,,,,,
94,0.006875034284,0.005500,0.001375,0.302969,0.3078181274,,,,,,,,,,,,,,,,,,
95,0.006959570741,0.005568,0.001392,0.308537,0.3105219628,,,,,,,,,,,,,,,,,,
96,0.007044610704,0.005636,0.001409,0.314173,0.3132152364,,,,,,,,,,,,,,,,,,
97,0.007130143316,0.005704,0.001426,0.319877,0.3158979894,,,,,,,,,,,,,,,,,,
98,0.007216157698,0.005773,0.001443,0.325650,0.3185702629,,,,,,,,,,,,,,,,,,
99,0.00730264295,0.005842,0.001461,0.331492,0.3212320978,,,,,,,,,,,,,,,,,,
100,0.007389588155,0.005912,0.001478,0.337403,0.3238835349,,,,,,,,,,,,,,,,,,
101,0.007476982381,0.005982,0.001495,0.343385,0.3265246148,,,,,,,,,,,,,,,,,,
102,0.007564814681,0.006052,0.001513,0.349437,0.3291553781,,,,,,,,,,,,,,,,,,
103,0.007653074099,0.006122,0.001531,0.355559,0.3317758649,,,,,,,,,,,,,,,,,,
104,0.007741749669,0.006193,0.001548,0.361753,0.3343861154,,,,,,,,,,,,,,,,,,
105,0.007830830419,0.006265,0.001566,0.368017,0.3369861696,,,,,,,,,,,,,,,,,,
106,0.007920305373,0.006336,0.001584,0.374354,0.3395760674,,,,,,,,,,,,,,,,,,
107,0.008010163553,0.006408,0.001602,0.380762,0.3421558484,,,,,,,,,,,,,,,,,,
108,0.00810039398,0.006480,0.001620,0.387242,0.3447255521,,,,,,,,,,,,,,,,,,
109,0.008190985679,0.006553,0.001638,0.393795,0.3472852179,0.393795,,,,,,,,,,,,,,,,,
110,0.008281927679,0.006626,0.001656,0.400420,0.349834885,0.392138,,,,,,,,,,,,,,,,,
111,0.008373209014,0.006699,0.001675,0.407119,0.3523745925,0.390464,,,,,,,,,,,,,,,,,
112,0.008464818729,0.006772,0.001693,0.413891,0.3549043793,0.388771,,,,,,,,,,,,,,,,,
113,0.00855674588,0.006845,0.001711,0.420736,0.357424284,0.387060,,,,,,,,,,,,,,,,,
114,0.008648979534,0.006919,0.001730,0.427655,0.3599343454,0.385330,0.427655,,,,,,,,,,,,,,,,
115,0.008741508775,0.006993,0.001748,0.434649,0.3624346019,0.383581,0.425907,,,,,,,,,,,,,,,,
116,0.008834322704,0.007067,0.001767,0.441716,0.3649250917,0.381815,0.424140,,,,,,,,,,,,,,,,
117,0.008927410441,0.007142,0.001785,0.448858,0.3674058531,0.380029,0.422355,,,,,,,,,,,,,,,,
118,0.009020761127,0.007217,0.001804,0.456075,0.369876924,0.378225,0.420551,,,,,,,,,,,,,,,,
119,0.009114363928,0.007291,0.001823,0.463366,0.3723383422,0.376402,0.418728,0.463366,,,,,,,,,,,,,,,
120,0.009208208034,0.007367,0.001842,0.470733,0.3747901456,0.374560,0.416886,0.461524,,,,,,,,,,,,,,,
121,0.009302282663,0.007442,0.001860,0.478174,0.3772323716,0.372700,0.415026,0.459664,,,,,,,,,,,,,,,
122,0.009396577063,0.007517,0.001879,0.485692,0.3796650576,0.370821,0.413146,0.457785,,,,,,,,,,,,,,,
123,0.009491080513,0.007593,0.001898,0.493285,0.382088241,0.368922,0.411248,0.455886,,,,,,,,,,,,,,,
124,0.009585782324,0.007669,0.001917,0.500953,0.3845019588,0.367005,0.409331,0.453969,0.500953,,,,,,,,,,,,,,
125,0.009680671845,0.007745,0.001936,0.508698,0.386906248,0.365069,0.407395,0.452033,0.499017,,,,,,,,,,,,,,
126,0.009775738461,0.007821,0.001955,0.516518,0.3893011455,0.363114,0.405440,0.450078,0.497062,,,,,,,,,,,,,,
127,0.009870971596,0.007897,0.001974,0.524415,0.3916866879,0.361140,0.403465,0.448104,0.495088,,,,,,,,,,,,,,
128,0.009966360715,0.007973,0.001993,0.532388,0.3940629118,0.359147,0.401472,0.446111,0.493094,,,,,,,,,,,,,,
129,0.01006189532,0.008050,0.002012,0.540438,0.3964298535,0.357134,0.399460,0.444098,0.491082,0.540438,,,,,,,,,,,,,
130,0.01015756498,0.008126,0.002032,0.548564,0.3987875494,0.355103,0.397428,0.442067,0.489051,0.538406,,,,,,,,,,,,,
131,0.01025335928,0.008203,0.002051,0.556766,0.4011360355,0.353052,0.395378,0.440016,0.487000,0.536356,,,,,,,,,,,,,
132,0.01034926787,0.008279,0.002070,0.565046,0.4034753479,0.350982,0.393308,0.437946,0.484930,0.534286,,,,,,,,,,,,,
133,0.01044528044,0.008356,0.002089,0.573402,0.4058055223,0.348893,0.391219,0.435857,0.482841,0.532197,,,,,,,,,,,,,
134,0.01054138676,0.008433,0.002108,0.581835,0.4081265945,0.346785,0.389110,0.433749,0.480733,0.530088,0.581835,,,,,,,,,,,,
135,0.01063757661,0.008510,0.002128,0.590345,0.4104386,0.344657,0.386983,0.431621,0.478605,0.527961,0.579708,,,,,,,,,,,,
136,0.01073383986,0.008587,0.002147,0.598932,0.4127415742,0.342510,0.384836,0.429475,0.476458,0.525814,0.577561,,,,,,,,,,,,
137,0.01083016642,0.008664,0.002166,0.607597,0.4150355524,0.340344,0.382670,0.427309,0.474292,0.523648,0.575395,,,,,,,,,,,,
138,0.01092654626,0.008741,0.002185,0.616338,0.4173205698,0.338159,0.380485,0.425123,0.472107,0.521463,0.573210,,,,,,,,,,,,
139,0.01102296942,0.008818,0.002205,0.625156,0.4195966613,0.335955,0.378280,0.422919,0.469903,0.519258,0.571005,0.625156,,,,,,,,,,,
140,0.01111942599,0.008896,0.002224,0.634052,0.4218638619,0.333731,0.376056,0.420695,0.467679,0.517034,0.568781,0.622932,,,,,,,,,,,
141,0.01121590613,0.008973,0.002243,0.643024,0.4241222062,0.331487,0.373813,0.418452,0.465435,0.514791,0.566538,0.620689,,,,,,,,,,,
142,0.01131240006,0.009050,0.002262,0.652074,0.4263717288,0.329225,0.371551,0.416189,0.463173,0.512529,0.564275,0.618427,,,,,,,,,,,
143,0.01140889806,0.009127,0.002282,0.661201,0.4286124642,0.326943,0.369269,0.413907,0.460891,0.510247,0.561994,0.616145,,,,,,,,,,,
144,0.0115053905,0.009204,0.002301,0.670406,0.4308444468,0.324642,0.366968,0.411606,0.458590,0.507946,0.559693,0.613844,0.670406,,,,,,,,,,
145,0.0116018678,0.009281,0.002320,0.679687,0.4330677107,0.322322,0.364647,0.409286,0.456270,0.505625,0.557372,0.611523,0.668085,,,,,,,,,,
146,0.01169832045,0.009359,0.002340,0.689046,0.4352822899,0.319982,0.362308,0.406946,0.453930,0.503286,0.555033,0.609184,0.665746,,,,,,,,,,
147,0.01179473902,0.009436,0.002359,0.698482,0.4374882185,0.317623,0.359949,0.404587,0.451571,0.500927,0.552674,0.606825,0.663387,,,,,,,,,,
148,0.01189111415,0.009513,0.002378,0.707995,0.4396855301,0.315245,0.357571,0.402209,0.449193,0.498549,0.550295,0.604447,0.661009,,,,,,,,,,
149,0.01198743656,0.009590,0.002397,0.717585,0.4418742585,0.312847,0.355173,0.399811,0.446795,0.496151,0.547898,0.602049,0.658611,0.717585,,,,,,,,,
150,0.01208369703,0.009667,0.002417,0.727251,0.4440544372,0.310431,0.352756,0.397395,0.444379,0.493734,0.545481,0.599632,0.656194,0.715168,,,,,,,,,
151,0.01217988644,0.009744,0.002436,0.736995,0.4462260996,0.307995,0.350320,0.394959,0.441943,0.491298,0.543045,0.597196,0.653758,0.712732,,,,,,,,,
152,0.01227599573,0.009821,0.002455,0.746816,0.4483892789,0.305540,0.347865,0.392504,0.439488,0.488843,0.540590,0.594741,0.651303,0.710277,,,,,,,,,
153,0.01237201593,0.009898,0.002474,0.756714,0.4505440082,0.303065,0.345391,0.390029,0.437013,0.486369,0.538116,0.592267,0.648829,0.707802,,,,,,,,,
154,0.01246793814,0.009974,0.002494,0.766688,0.4526903207,0.300572,0.342897,0.387536,0.434520,0.483875,0.535622,0.589773,0.646335,0.705309,0.766688,,,,,,,,
155,0.01256375355,0.010051,0.002513,0.776739,0.4548282491,0.298059,0.340384,0.385023,0.432007,0.481362,0.533109,0.587260,0.643822,0.702796,0.764175,,,,,,,,
156,0.01265945344,0.010128,0.002532,0.786867,0.4569578263,0.295527,0.337853,0.382491,0.429475,0.478831,0.530577,0.584728,0.641290,0.700264,0.761644,,,,,,,,
157,0.01275502916,0.010204,0.002551,0.797071,0.4590790848,0.292976,0.335302,0.379940,0.426924,0.476280,0.528026,0.582177,0.638739,0.697713,0.759093,,,,,,,,
158,0.01285047215,0.010280,0.002570,0.807351,0.4611920571,0.290406,0.332731,0.377370,0.424354,0.473709,0.525456,0.579607,0.636169,0.695143,0.756522,,,,,,,,
159,0.01294577394,0.010357,0.002589,0.817708,0.4632967756,0.287817,0.330142,0.374781,0.421765,0.471120,0.522867,0.577018,0.633580,0.692554,0.753933,0.817708,,,,,,,
160,0.01304092614,0.010433,0.002608,0.828140,0.4653932726,0.285208,0.327534,0.372173,0.419156,0.468512,0.520259,0.574410,0.630972,0.689946,0.751325,0.815100,,,,,,,
161,0.01313592046,0.010509,0.002627,0.838649,0.4674815801,0.282581,0.324907,0.369545,0.416529,0.465885,0.517632,0.571783,0.628345,0.687318,0.748698,0.812472,,,,,,,
162,0.01323074869,0.010585,0.002646,0.849234,0.4695617302,0.279935,0.322261,0.366899,0.413883,0.463239,0.514986,0.569137,0.625699,0.684672,0.746052,0.809826,,,,,,,
163,0.01332540271,0.010660,0.002665,0.859894,0.4716337547,0.277270,0.319596,0.364234,0.411218,0.460574,0.512321,0.566472,0.623034,0.682007,0.743387,0.807161,,,,,,,
164,0.01341987451,0.010736,0.002684,0.870630,0.4736976854,0.274586,0.316912,0.361550,0.408534,0.457890,0.509637,0.563788,0.620350,0.679323,0.740703,0.804477,0.870630,,,,,,
165,0.01351415613,0.010811,0.002703,0.881441,0.4757535538,0.271883,0.314209,0.358847,0.405831,0.455187,0.506934,0.561085,0.617647,0.676620,0.738000,0.801774,0.867927,,,,,,
166,0.01360823975,0.010887,0.002722,0.892328,0.4778013914,0.269162,0.311487,0.356126,0.403110,0.452465,0.504212,0.558363,0.614925,0.673899,0.735278,0.799053,0.865206,,,,,,
167,0.01370211761,0.010962,0.002740,0.903290,0.4798412298,0.266421,0.308747,0.353385,0.400369,0.449725,0.501472,0.555623,0.612185,0.671158,0.732538,0.796312,0.862465,,,,,,
168,0.01379578206,0.011037,0.002759,0.914326,0.4818731,0.263662,0.305988,0.350626,0.397610,0.446966,0.498712,0.552864,0.609426,0.668399,0.729779,0.793553,0.859706,,,,,,
169,0.01388922554,0.011111,0.002778,0.925438,0.4838970332,0.260884,0.303210,0.347848,0.394832,0.444188,0.495935,0.550086,0.606648,0.665621,0.727001,0.790775,0.856928,0.925438,,,,,
170,0.0139824406,0.011186,0.002796,0.936624,0.4859130604,0.258088,0.300413,0.345052,0.392036,0.441391,0.493138,0.547289,0.603851,0.662825,0.724204,0.787979,0.854132,0.922641,,,,,
171,0.01407541986,0.011260,0.002815,0.947884,0.4879212125,0.255273,0.297598,0.342237,0.389221,0.438576,0.490323,0.544474,0.601036,0.660010,0.721389,0.785164,0.851317,0.919826,,,,,
172,0.01416815606,0.011335,0.002834,0.959218,0.4899215202,0.252439,0.294765,0.339403,0.386387,0.435743,0.487489,0.541641,0.598203,0.657176,0.718556,0.782330,0.848483,0.916992,,,,,
173,0.01426064202,0.011409,0.002852,0.970627,0.4919140143,0.249587,0.291913,0.336551,0.383535,0.432890,0.484637,0.538788,0.595350,0.654324,0.715703,0.779478,0.845631,0.914140,,,,,
174,0.01435287067,0.011482,0.002871,0.982109,0.4938987252,0.246716,0.289042,0.333680,0.380664,0.430020,0.481767,0.535918,0.592480,0.651453,0.712833,0.776607,0.842760,0.911270,0.982109,,,,
175,0.01444483505,0.011556,0.002889,0.993665,0.4958756833,0.243827,0.286153,0.330791,0.377775,0.427131,0.478878,0.533029,0.589591,0.648564,0.709944,0.773718,0.839871,0.908381,0.979220,,,,
176,0.01453652827,0.011629,0.002907,1.005294,0.4978449189,0.240920,0.283246,0.327884,0.374868,0.424224,0.475970,0.530122,0.586684,0.645657,0.707037,0.770811,0.836964,0.905473,0.976313,,,,
177,0.01462794356,0.011702,0.002926,1.016997,0.4998064622,0.237994,0.280320,0.324958,0.371942,0.421298,0.473045,0.527196,0.583758,0.642731,0.704111,0.767885,0.834038,0.902548,0.973387,,,,
178,0.01471907425,0.011775,0.002944,1.028772,0.5017603432,0.235051,0.277376,0.322015,0.368999,0.418354,0.470101,0.524252,0.580814,0.639788,0.701167,0.764942,0.831095,0.899604,0.970444,,,,
179,0.01480991377,0.011848,0.002962,1.040620,0.5037065919,0.232089,0.274414,0.319053,0.366037,0.415392,0.467139,0.521290,0.577852,0.636826,0.698205,0.761980,0.828133,0.896642,0.967482,1.040620,,,
180,0.01490045565,0.011920,0.002980,1.052540,0.505645238,0.229109,0.271434,0.316073,0.363056,0.412412,0.464159,0.518310,0.574872,0.633846,0.695225,0.759000,0.825152,0.893662,0.964502,1.037640,,,
181,0.01499069351,0.011993,0.002998,1.064533,0.5075763113,0.226110,0.268436,0.313074,0.360058,0.409414,0.461161,0.515312,0.571874,0.630847,0.692227,0.756001,0.822154,0.890664,0.961503,1.034642,,,
182,0.01508062109,0.012064,0.003016,1.076597,0.5094998413,0.223094,0.265420,0.310058,0.357042,0.406398,0.458145,0.512296,0.568858,0.627831,0.689211,0.752985,0.819138,0.887648,0.958487,1.031626,,,
183,0.01517023223,0.012136,0.003034,1.088734,0.5114158576,0.220060,0.262386,0.307024,0.354008,0.403364,0.455111,0.509262,0.565824,0.624797,0.686177,0.749951,0.816104,0.884614,0.955453,1.028592,,,
184,0.01525952086,0.012208,0.003052,1.100941,0.5133243894,0.217008,0.259334,0.303972,0.350956,0.400312,0.452059,0.506210,0.562772,0.621745,0.683125,0.746899,0.813052,0.881562,0.952401,1.025540,1.100941,,
185,0.01534848103,0.012279,0.003070,1.113220,0.515225466,0.213939,0.256264,0.300903,0.347887,0.397242,0.448989,0.503140,0.559702,0.618676,0.680055,0.743830,0.809983,0.878492,0.949332,1.022470,1.097871,,
186,0.01543710688,0.012350,0.003087,1.125570,0.5171191165,0.210851,0.253177,0.297815,0.344799,0.394155,0.445902,0.500053,0.556615,0.615588,0.676968,0.740742,0.806895,0.875405,0.946244,1.019382,1.094784,,
187,0.01552539265,0.012420,0.003105,1.137990,0.5190053699,0.207746,0.250072,0.294710,0.341694,0.391050,0.442797,0.496948,0.553510,0.612483,0.673863,0.737637,0.803790,0.872300,0.943139,1.016277,1.091679,,
188,0.01561333271,0.012491,0.003123,1.150481,0.5208842552,0.204623,0.246949,0.291587,0.338571,0.387927,0.439674,0.493825,0.550387,0.609361,0.670740,0.734515,0.800667,0.869177,0.940016,1.013155,1.088556,,
189,0.0157009215,0.012561,0.003140,1.163041,0.5227558011,0.201483,0.243809,0.288447,0.335431,0.384787,0.436534,0.490685,0.547247,0.606220,0.667600,0.731374,0.797527,0.866037,0.936876,1.010015,1.085416,1.163041,
190,0.01578815359,0.012631,0.003158,1.175672,0.5246200362,0.198326,0.240651,0.285290,0.332274,0.381629,0.433376,0.487527,0.544089,0.603063,0.664442,0.728217,0.794370,0.862879,0.933719,1.006857,1.082258,1.159884,
191,0.01587502364,0.012700,0.003175,1.188372,0.5264769892,0.195151,0.237476,0.282115,0.329099,0.378454,0.430201,0.484352,0.540914,0.599888,0.661267,0.725042,0.791195,0.859704,0.930544,1.003682,1.079083,1.156709,
192,0.01596152641,0.012769,0.003192,1.201141,0.5283266885,0.191958,0.234284,0.278922,0.325906,0.375262,0.427009,0.481160,0.537722,0.596695,0.658075,0.721849,0.788002,0.856512,0.927351,1.000490,1.075891,1.153516,
193,0.01604765679,0.012838,0.003210,1.213979,0.5301691624,0.188749,0.231074,0.275713,0.322697,0.372052,0.423799,0.477950,0.534512,0.593486,0.654865,0.718640,0.784793,0.853302,0.924142,0.997280,1.072682,1.150307,
194,0.01613340975,0.012907,0.003227,1.226886,0.5320044391,0.185522,0.227848,0.272486,0.319470,0.368826,0.420573,0.474724,0.531286,0.590259,0.651639,0.715413,0.781566,0.850076,0.920915,0.994053,1.069455,1.147080,1.226886
195,0.01621878036,0.012975,0.003244,1.239861,0.5338325467,0.182278,0.224604,0.269242,0.316226,0.365582,0.417329,0.471480,0.528042,0.587015,0.648395,0.712169,0.778322,0.846832,0.917671,0.990810,1.066211,1.143836,1.223642
196,0.01630376382,0.013043,0.003261,1.252904,0.5356535133,0.179018,0.221343,0.265982,0.312966,0.362321,0.414068,0.468219,0.524781,0.583755,0.645134,0.708909,0.775062,0.843571,0.914411,0.987549,1.062950,1.140576,1.220381
197,0.01638835541,0.013111,0.003278,1.266015,0.5374673668,0.175740,0.218066,0.262704,0.309688,0.359044,0.410790,0.464941,0.521504,0.580477,0.641857,0.705631,0.771784,0.840293,0.911133,0.984271,1.059673,1.137298,1.217104
198,0.01647255053,0.013178,0.003295,1.279193,0.5392741349,0.172445,0.214771,0.259409,0.306393,0.355749,0.407496,0.461647,0.518209,0.577182,0.638562,0.702336,0.768489,0.836999,0.907838,0.980977,1.056378,1.134003,1.213809
199,0.01655634468,0.013245,0.003311,1.292438,0.5410738453,0.169134,0.211460,0.256098,0.303082,0.352438,0.404185,0.458336,0.514898,0.573871,0.635251,0.699025,0.765178,0.833688,0.904527,0.977665,1.053067,1.130692,1.210498
200,0.01663973346,0.013312,0.003328,1.305750,0.5428665256,0.165806,0.208132,0.252770,0.299754,0.349110,0.400857,0.455008,0.511570,0.570543,0.631923,0.695697,0.761850,0.830360,0.901199,0.974337,1.049739,1.127364,1.207170
201,0.01672271257,0.013378,0.003345,1.319128,0.5446522032,0.162462,0.204787,0.249426,0.296410,0.345765,0.397512,0.451663,0.508225,0.567199,0.628578,0.692353,0.758506,0.827015,0.897855,0.970993,1.046394,1.124020,1.203825
202,0.01680527783,0.013444,0.003361,1.332572,0.5464309056,0.159101,0.201426,0.246065,0.293049,0.342404,0.394151,0.448302,0.504864,0.563838,0.625217,0.688992,0.755145,0.823654,0.894494,0.967632,1.043033,1.120659,1.200464
203,0.01688742514,0.013510,0.003377,1.346082,0.5482026598,0.155723,0.198049,0.242687,0.289671,0.339027,0.390774,0.444925,0.501487,0.560460,0.621840,0.685614,0.751767,0.820277,0.891116,0.964254,1.039656,1.117281,1.197087
